ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2726426,Bing,NA,2,2016-05-24T16:37:17Z,2016-05-24T22:37:17Z,34.074216,-117.617205,NA,NA,0.001,At 4th St/Exit 53 - Accident.,NA,I-10 W,R,Ontario,San Bernardino,CA,91764,US,US/Pacific,KONT,2016-05-24T16:53:00Z,69.1,NA,47,29.96,10,WSW,15,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-133164,MapQuest,201,2,2016-10-03T08:19:55Z,2016-10-03T09:04:41Z,28.535414,-81.285728,NA,NA,0,Accident on FL-551 Goldenrod Rd at Alachua St.,NA,Alachua St,R,Orlando,Orange,FL,32822,US,US/Eastern,KORL,2016-10-03T08:26:00Z,73.9,NA,91,29.93,10,ENE,8.1,NA,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2713865,MapQuest,201,3,2017-08-29T08:12:40Z,2017-08-29T08:56:06Z,33.826569,-118.207581,NA,NA,0,Accident on I-405 Northbound at Exit 32B I-710.,NA,Long Beach Fwy S,R,Long Beach,Los Angeles,CA,90810,US,US/Pacific,KLGB,2017-08-29T07:53:00Z,71.1,NA,84,29.83,6,SE,6.9,NA,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2187620,MapQuest,201,2,2018-04-13T07:04:08Z,2018-04-13T07:33:49Z,28.204365,-82.739723,NA,NA,0,Accident on US-19 at Gulf Trace Blvd.,3121,US Highway 19,L,Holiday,Pasco,FL,34691-2615,US,US/Eastern,KPIE,2018-04-13T06:53:00Z,68,NA,84,30.1,10,SE,10.4,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Day,Day,Day
A-2331469,MapQuest,201,2,2018-02-22T14:04:08Z,2018-02-22T14:33:52Z,34.98727,-81.008385,NA,NA,0,Accident on Hightower Rd at SC-195 Mount Gallant Rd.,1902,Hightower Rd,R,Rock Hill,York,SC,29732,US,US/Eastern,KUZA,2018-02-22T13:54:00Z,77,NA,62,30.39,10,SSE,8.1,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1300132,MapQuest,201,2,2019-07-31T16:23:08Z,2019-07-31T16:52:52Z,42.981739,-83.668213,NA,NA,0,Accident on Hemphill Rd at Keats St.,2134,E Hemphill Rd,R,Burton,Genesee,MI,48529,US,US/Eastern,KFNT,2019-07-31T16:53:00Z,79,79,38,29.3,10,NNW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3177431,Bing,NA,2,2020-12-17T22:39:30Z,2020-12-18T01:50:30Z,39.413091,-76.600714,NA,NA,3.056,Stationary traffic on I-695 W - I-83 S from Providence Rd/Exit 28 (I-695) to I-83/MD-25/Exit 23 (I-695) due to accident.,NA,I-695 W,R,Lutherville Timonium,Baltimore County,MD,21093,US,US/Eastern,KDMH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2785511,Bing,NA,3,2016-10-07T06:19:56Z,2016-10-07T12:19:56Z,40.74776,-74.17149,NA,NA,1.217,Between RT-21/Exit 15 and 5th St/Exit 16 - Accident.,NA,I-280 E,R,Newark,Essex,NJ,07104,US,US/Eastern,KEWR,2016-10-07T05:51:00Z,54,NA,93,30.27,9,West,3.5,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-703550,MapQuest,201,3,2020-07-25T17:10:42Z,2020-07-25T17:40:06Z,36.299133,-86.712257,NA,NA,0,Left lane blocked due to accident on I-65 Northbound at MM 95.,NA,I-65 N,R,Goodlettsville,Davidson,TN,37072,US,US/Central,KBNA,2020-07-25T17:03:00Z,83,83,65,29.44,10,N,18,0,Thunder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2062003,MapQuest,201,2,2018-06-13T09:06:46Z,2018-06-13T09:51:31Z,43.218082,-77.652313,NA,NA,0,Accident on Everclay Dr at County Hwy-148 Stone Rd.,1,Everclay Dr,L,Rochester,Monroe,NY,14616-4125,US,US/Eastern,KROC,2018-06-13T08:54:00Z,70,NA,87,29.8,10,SSW,9.2,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2742419,Bing,NA,3,2016-08-09T15:21:57Z,2016-08-09T21:21:57Z,32.80033,-96.62612,NA,NA,0.985,At Town East Blvd/Exit 7 - Accident.,NA,LBJ Fwy N,R,Mesquite,Dallas,TX,75150,US,US/Central,KHQZ,2016-08-09T15:50:00Z,98.6,NA,32,29.89,10,SE,8.1,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2448956,MapQuest,201,3,2017-12-21T08:11:08Z,2017-12-21T08:41:00Z,36.115822,-86.773186,NA,NA,0,Accident on I-65 Northbound at Exit 80 I-440.,NA,I-65 N,R,Nashville,Davidson,TN,37204,US,US/Central,KBNA,2017-12-21T08:20:00Z,48,NA,89,30.06,5,Calm,NA,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3332104,Bing,NA,2,2020-11-17T16:30:32Z,2020-11-17T19:44:24Z,40.69588,-74.259756,NA,NA,0.47,Crash on Garden State Parkway southbound area of Exit 140 - US 22/NJ 82 (Union Twp) All lanes open,NA,Garden State Pkwy S,R,Union,Union,NJ,07083,US,US/Eastern,KEWR,2020-11-17T16:51:00Z,43,37,49,30,10,WNW,12,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2141523,MapQuest,201,2,2018-05-21T16:29:04Z,2018-05-21T16:58:29Z,35.483112,-97.489586,NA,NA,0,Accident on Lottie Ave at 13th St.,1273,NE 13th St,L,Oklahoma City,Oklahoma,OK,73117,US,US/Central,KTIK,2018-05-21T14:56:00Z,78.3,NA,59,30.04,10,South,3.5,NA,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3424135,Bing,NA,2,2020-12-16T23:35:01Z,2020-12-17T02:16:52Z,25.733116,-80.338192,NA,NA,0.049,Incident on SW 40TH ST near HOUSE 8833 Drive with caution.,8811,SW 40th St,R,Miami,Miami-Dade,FL,33165-5409,US,US/Eastern,KMIA,2020-12-16T23:53:00Z,73,73,93,29.97,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-4082811,Bing,NA,2,2018-02-15T14:43:13Z,2018-02-15T15:13:13Z,34.120236,-118.231089,NA,NA,0.013,At Avenue 40/Verdugo Rd - Accident.,NA,CA-2 S,R,Los Angeles,Los Angeles,CA,90065,US,US/Pacific,KCQT,2018-02-15T14:47:00Z,69.1,NA,33,30.03,10,West,5.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-741901,MapQuest,201,2,2020-08-26T07:19:16Z,2020-08-26T08:04:00Z,27.59951,-81.534576,NA,NA,0,Accident on Royalton Rd from Barrie Rd to Madera Rd.,2049,W Royalton Rd,L,Avon Park,Highlands,FL,33825-9039,US,US/Eastern,KBOW,2020-08-26T07:15:00Z,79,79,94,29.87,10,NE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1424867,MapQuest,241,3,2019-05-23T14:03:43Z,2019-05-23T15:04:06Z,33.760052,-117.861969,NA,NA,0,#1 lane blocked due to accident on I-5 Northbound at I-5 Hov Lane.,NA,I-5 N,R,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2019-05-23T13:53:00Z,63,63,63,29.96,10,S,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1539030,MapQuest,201,3,2019-03-22T12:09:06Z,2019-03-22T14:10:54Z,34.067387,-117.560593,NA,NA,0,#3 lane blocked and right hand shoulder blocked due to accident on I-10 Eastbound before Exit 57 Milliken Ave.,NA,I-10 E,R,Ontario,San Bernardino,CA,91761,US,US/Pacific,KONT,2019-03-22T11:53:00Z,63,NA,52,30.17,10,WSW,5.8,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3136872,Bing,NA,2,2020-10-03T17:39:00Z,2020-10-03T23:58:00Z,38.765084,-77.464777,NA,NA,0.309,Queuing traffic from Lomond South Dr (Liberia Ave) to VA-28/Centreville Rd (Liberia Ave) due to accident.,8898,Oliver Ct,L,Manassas,Manassas,VA,20110-8823,US,US/Eastern,KHEF,2020-10-03T17:56:00Z,64,64,40,30.02,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-532589,MapQuest,201,2,2020-12-15T07:17:42Z,2020-12-15T08:31:16Z,41.094753,-96.25296,NA,NA,0,Roadway reduced to one lane due to accident on NE-31 both ways at I-80 Exit 432.,NA,I-80 E,R,Gretna,Sarpy,NE,68028,US,US/Central,KMLE,2020-12-15T07:16:00Z,19,19,74,29.13,10,E,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-3597352,Bing,NA,3,2020-03-24T15:14:56Z,2020-03-24T15:29:56Z,39.39882,-76.55215,NA,NA,1.131,Between MD-542/Lock Raven Blvd/Exit 29 and MD-147/Harford Rd/Exit 31 - Accident. Hard shoulder blocked.,NA,I-695 E,R,Parkville,Baltimore County,MD,21234,US,US/Eastern,KMTN,2020-03-24T14:58:00Z,54,54,67,30.13,10,SE,8,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4149787,Bing,NA,2,2017-09-27T16:40:44Z,2017-09-27T22:40:44Z,34.16907,-118.59438,NA,NA,0.839,Between Canoga Ave/Exit 26B and CA-27/Topanga Canyon Blvd/Exit 27 - Accident.,NA,US-101 N,R,Woodland Hills,Los Angeles,CA,91367,US,US/Pacific,KVNY,2017-09-27T16:51:00Z,89.1,NA,10,29.8,10,SSE,9.2,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3953014,Bing,NA,3,2018-12-24T15:01:46Z,2018-12-24T15:31:26Z,33.814224,-118.28747,NA,NA,0.476,At Sepulveda Blvd - Accident. on the hard shoulder.,NA,Harbor Fwy S,R,Carson,Los Angeles,CA,90745,US,US/Pacific,KTOA,2018-12-24T14:47:00Z,62.6,NA,72,29.97,9,SW,9.2,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3268881,Bing,NA,2,2020-11-20T16:18:00Z,2020-11-20T20:12:43Z,37.23578,-119.717443,NA,NA,0.172,WHI PKTK STUCK IN THE MUD AGAINST A POLE,33499,Gold Dust Ct S,L,Coarsegold,Madera,CA,93614-9355,US,US/Pacific,KMAE,2020-11-20T15:53:00Z,58,58,67,29.94,10,W,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-653314,MapQuest,201,2,2020-10-20T07:10:49Z,2020-10-20T08:10:31Z,30.422581,-86.867897,NA,NA,0,Accident on High School Blvd at FL-87.,2429,Highway 87,L,Navarre,Santa Rosa,FL,32566-3213,US,US/Central,KNFJ,2020-10-20T06:56:00Z,68,68,84,30.01,10,NE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1138054,MapQuest,201,2,2019-11-20T06:19:18Z,2019-11-20T06:49:00Z,37.104359,-121.975166,NA,NA,0,Accident on CA-17 at Laurel Rd.,24999,Santa Cruz Hwy,L,Scotts Valley,Santa Cruz,CA,95066,US,US/Pacific,KWVI,2019-11-20T05:53:00Z,46,42,89,29.39,10,W,7,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-425346,MapQuest,229,2,2017-04-13T05:22:59Z,2017-04-13T06:07:35Z,40.228893,-75.236816,NA,NA,0.01,Slow traffic due to accident on PA-309 Bethlehem Pike both ways at Knapp Rd.,969,Bethlehem Pike,R,Montgomeryville,Montgomery,PA,18936-9607,US,US/Eastern,KLOM,2017-04-13T05:15:00Z,46.4,42.9,62,30.35,10,North,6.9,NA,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-3951790,Bing,NA,2,2018-12-21T17:11:55Z,2018-12-21T21:11:55Z,45.516742,-122.66712,NA,NA,0.062,At I-84/US-30/Exit 300 - Accident.,NA,I-5 N,R,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2018-12-21T16:53:00Z,41,36.4,82,30.25,10,ESE,6.9,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-1558777,MapQuest,201,2,2019-01-31T09:00:08Z,2019-01-31T09:29:52Z,40.109039,-75.272484,NA,NA,0,Accident on Flourtown Rd at Butler Pike.,4138,Butler Pike,R,Plymouth Meeting,Montgomery,PA,19462-1545,US,US/Eastern,KLOM,2019-01-31T08:55:00Z,5,-4.1,52,30.45,10,West,4.6,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1391116,MapQuest,201,3,2019-05-07T10:25:37Z,2019-05-07T13:06:42Z,43.008511,-83.677727,NA,NA,1.69000005722,Accident on entry ramp to I-69 Eastbound at Exit 6 from I-475 Northbound.,NA,Buick Fwy N,R,Flint,Genesee,MI,48503,US,US/Eastern,KFNT,2019-05-07T10:53:00Z,43,43,74,29.43,10,CALM,0,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3281259,Bing,NA,2,2020-09-20T17:07:00Z,2020-09-20T23:58:30Z,39.989569,-75.206177,NA,NA,0.908,Slow traffic on I-76 from US-1/Exit 340/Exit 339 (I-76) to US-30/US-13/Girard Ave/Exit 342 (I-76) due to accident.,NA,I-76 E,R,Philadelphia,Philadelphia,PA,19131,US,US/Eastern,KPHL,2020-09-20T16:54:00Z,64,64,30,30.48,10,NE,12,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1590404,MapQuest,201,2,2019-02-14T12:01:19Z,2019-02-14T12:31:08Z,35.188808,-106.580116,NA,NA,0,Accident on Alameda Pl at Pan American East Fwy.,9098,Pan American Fwy NE,R,Albuquerque,Bernalillo,NM,87113,US,US/Mountain,KABQ,2019-02-14T11:52:00Z,50,NA,38,29.99,10,WSW,4.6,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-700553,MapQuest,201,3,2020-07-23T18:44:18Z,2020-07-23T19:34:11Z,37.11578,-80.427544,NA,NA,0,Left lane closed due to accident on I-81 Southbound at Exit 114 VA-8 Main St.,NA,I-81 S,R,Christiansburg,Montgomery,VA,24073,US,US/Eastern,KBCB,2020-07-23T18:35:00Z,72,72,96,27.97,10,WSW,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-573420,MapQuest,201,2,2020-11-12T08:07:17Z,2020-11-12T09:24:30Z,38.653175,-90.448235,NA,NA,0,Right hand shoulder blocked due to accident on I-270 Southbound after Exit 13 MO-AB Ladue Rd.,NA,I-270 S,R,Saint Louis,St. Louis County,MO,63141,US,US/Central,KSTL,2020-11-12T07:51:00Z,39,33,86,29.48,10,ESE,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-566335,MapQuest,201,4,2020-11-17T13:46:08Z,2020-11-17T15:30:52Z,39.819389,-84.189224,NA,NA,2.48000001907,Left lane blocked due to accident on I-75 Southbound between Exit 59 Benchwood Rd and Exit 58 Needmore Rd.,NA,I-75 S,R,Dayton,Montgomery,OH,45414,US,US/Eastern,KDAY,2020-11-17T13:56:00Z,42,35,41,29.33,10,NW,15,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
